"links_link","links_img_url","links_product_name","links_product_brand","links_product_brand_url","links_more_details","links_details","links_color_url_list"
"https://shop.nordstrom.com/s/astr-the-label-tweed-blazer/4690715?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/d3878154-3eb0-42ef-87a6-05b6ee2b8697.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","Tweed Blazer","ASTR THE LABEL","https://shop.nordstrom.com/brands/astr-the-label--8653?origin=productBrandLink","ASTR THE LABEL Tweed Blazer, Main, color, CREAM-BLACK
Size Info
True to size.
XS=00-0, S=2-4, M=6-8, L=10-12.
Details & Care
Long and lean, this streamlined tweed blazer makes the perfect top layer for any look in your closet.
29"" length (size Medium)
Open front
Notch lapels
Long sleeves
Front patch pockets
60% cotton, 40% polyester
Dry clean
Imported
Savvy
Item #5414968
Free Shipping & Returns See more","Long and lean, this streamlined tweed blazer makes the perfect top layer for any look in your closet.",""
"https://shop.nordstrom.com/s/sam-edelman-faux-fur-trim-down-parka/5050776?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/12f60376-edee-41a5-9acd-06611efee996.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","Faux Fur Trim Down Parka","SAM EDELMAN","https://shop.nordstrom.com/brands/sam-edelman--4215?origin=productBrandLink","SAM EDELMAN Faux Fur Trim Down Parka, Main, color, BLACK
Size Info
True to size.
XXS=00, XS=0-2, S=4-6, M=8-10, L=12-14, XL=16-18 (12W), XXL=20-22 (16W).
Details & Care
An easy-to-layer parka is capped with a neck-warming combination of textures and collars, including a ruff of faux fur and a plush inner collar.
36 1/2"" length (size Medium)
Front zip closure with snap placket
Adjustable toggle hood with 100% polyester faux fur trim
Long sleeves with inset rib-knit cuffs
Front zip and welt pockets
Split drop-tail hem
Lined, with 50% down, 50% feather fill
100% polyester
Dry clean
Imported
Coats
Item #5688403
Free Shipping & Returns See more","An easy-to-layer parka is capped with a neck-warming combination of textures and collars, including a ruff of faux fur and a plush inner collar.","https://n.nordstrommedia.com/id/sr3/beb22541-682e-43ee-a73b-be2abf233eec.jpeg?crop=fit&amp"
"https://shop.nordstrom.com/s/blanknyc-record-breaker-collarless-faux-leather-moto-jacket-regular-plus-size/5270861?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/40e62f45-1495-41bb-9684-5705f57f7d6e.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","Record Breaker Collarless Faux Leather Moto Jacket","BLANKNYC","https://shop.nordstrom.com/brands/blanknyc--8779?origin=productBrandLink","BLANKNYC Record Breaker Collarless Faux Leather Moto Jacket, Main, color, MOONLIGHTING/ BLACK
Size Info
True to size.
XS=2, S=4-6, M=6-8, L=10-12, XL=14, 1X=14W, 2X=16W, 3X=18W.
Details & Care
Moto style pumps the brakes in this streamlined, supple jacket cut in a collarless design and finished with rib details on the sleeves.
20 1/2"" length (size Medium)
Front zip closure
Collarless
Chest and front zip pockets
Lined
60% polyurethane, 40% viscose
Spot clean
Imported
Savvy
Item #5840177
Free Shipping & Returns See more","Moto style pumps the brakes in this streamlined, supple jacket cut in a collarless design and finished with rib details on the sleeves.","https://n.nordstrommedia.com/id/sr3/eb47fba6-80fb-423d-970a-98caa621c406.jpeg?crop=fit&amp"
"https://shop.nordstrom.com/s/free-people-fp-movement-hit-the-slopes-fleece-jacket/5500185?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/ac026e8c-5b60-40ce-b3f0-82da6e935007.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","FP Movement Hit the Slopes Fleece Jacket","FREE PEOPLE","https://shop.nordstrom.com/brands/free-people--834?origin=productBrandLink","FREE PEOPLE FP Movement Hit the Slopes Fleece Jacket, Main, color, BLACK
Size Info
True to size.
XS=0-2, S=4-6, M=8-10, L=12-14.
Details & Care
Bundle up in the soft warmth of high-pile fleece with this cropped jacket that's perfect to layer over workout clothes or streetwear.
23"" length (size Medium)
Front snap closure
Stand collar
Elastic cuffs
Chest zip pocket; front zip pockets
Unlined
100% polyester
Machine wash, tumble dry
Imported
t.b.d.
Item #5988791
Free Shipping & Returns See more","Bundle up in the soft warmth of high-pile fleece with this cropped jacket that's perfect to layer over workout clothes or streetwear.","https://n.nordstrommedia.com/id/sr3/d9c9232b-5184-44bf-a80e-2aa4f779f5bd.jpeg?crop=fit&amp"
"https://shop.nordstrom.com/s/sam-edelman-faux-shearling-lined-puffer-coat/5327997?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/0081a98d-a33d-4fc1-b28a-4b52ab7056bf.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","Faux Shearling Lined Puffer Coat","SAM EDELMAN","https://shop.nordstrom.com/brands/sam-edelman--4215?origin=productBrandLink","SAM EDELMAN Faux Shearling Lined Puffer Coat, Main, color, BLACK
Size Info
Runs large; order one size down.
XXS=00, XS=0-2, S=4-6, M=8-10, L=12-14, XL=16-18 (12W), XXL=20-22 (16W).
Details & Care
Soft faux-shearling invites you to get lost in the roomy hood of this pillowy channel-quilted coat with a core-warming layered design. An outer layer makes this shiny jacket extra puffy, while zipped side vents allow for more freedom of movement.
32 1/2"" front length; 34 1/2"" back length (size Medium)
Front zip closure
Attached hood
Stand collar
Rib cuffs
Chest zip pockets; front zip patch pockets
Zip side vents
Lined, with 50% down, 50% feather fill
100% polyester with 100% polyester faux-shearling trim
Machine wash, tumble dry
Imported
Coats
Item #5876143
Free Shipping & Returns See more","Soft faux-shearling invites you to get lost in the roomy hood of this pillowy channel-quilted coat with a core-warming layered design.","https://n.nordstrommedia.com/id/sr3/ef523942-1291-4405-98ca-7c5f6c9857bd.jpeg?crop=fit&amp"
"https://shop.nordstrom.com/s/bernardo-packable-down-ecoplume-coat-regular-petite/4682633?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/00e8ac5b-cb8e-4fd2-a1e8-ed36f1139531.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","Packable Down & EcoPlume Coat","BERNARDO","https://shop.nordstrom.com/brands/bernardo--4277?origin=productBrandLink","BERNARDO Packable Down & EcoPlume Coat, Main, color, OPAL GREY
Size Info
True to size.
XS=0-2, S=4-6, M=8-10, L=12-14, XL=16-18 (14W), XXL=20-22 (16W-18W).
Details & Care
Updated with gleaming hardware, this puffer keeps you toasty warm with a lightweight, compressible blend of premium down and EcoPlume insulation.
27"" front length; 29"" back length (size Medium)
Front zip closure
Drawcord stand collar with stowaway hood
Long sleeves
Front zip pockets
Water-resistant
100% polyester
Machine wash, tumble dry
Imported
Coats
bluesign®-approved fill, made with tested and sustainably produced components
Item #5410613
Free Shipping & Returns See more","Updated with gleaming hardware, this puffer keeps you toasty warm with a lightweight, compressible blend of premium down and EcoPlume insulation.","https://n.nordstrommedia.com/id/sr3/93a381eb-581b-49d2-b218-0a19e99740a6.jpeg?crop=fit&amp"
"https://shop.nordstrom.com/s/gibson-notch-collar-cotton-blend-blazer/5066910?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/28e4d8af-1006-44d4-823a-bedee66d8cfe.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","Notch Collar Cotton Blend Blazer","GIBSON","https://shop.nordstrom.com/brands/gibson--4301?origin=productBrandLink","GIBSON Notch Collar Cotton Blend Blazer, Main, color, BLACK
Size Info
Regular: If between sizes, order one size down.
Petite: Runs small; if between sizes, order one size up.
Regular & Petite (P): XXS=00, XS=0-2, S=4-6, M=8-10, L=12-14, XL=16, XXL=18 (14W-16W).
Details & Care
The office isn't the only place you can wear this versatile blazer cut with a minimized notched collar.
26 1/2"" length (size Medium)
Front button closure
Notched collar
Long sleeves with slit cuffs
Front flap pockets
Lined
65% cotton, 35% polyester
Dry clean
Imported
Point of View
Item #5700868
Helpful info:
See details and tips from a salesperson (video)
Petite sizes best fit women 5'4"" & under.
Free Shipping & Returns See more","The office isn't the only place you can wear this versatile blazer cut with a minimized notched collar.","https://n.nordstrommedia.com/id/sr3/849cf6a2-f624-4780-9af3-ec9fcd067c94.jpeg?crop=fit&amp"
"https://shop.nordstrom.com/s/treasure-bond-utility-jacket/5357041?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/53b92844-e79e-429e-afce-1abbb845b68d.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","Utility Jacket","TREASURE & BOND","https://shop.nordstrom.com/brands/treasure-bond--9394?origin=productBrandLink","TREASURE & BOND Utility Jacket, Main, color, OLIVE SARMA
Size Info
True to size.
XXS=00, XS=0-2, S=4-6, M=8-10, L=12-14, XL=16 (12W-14W), XXL=18 (16W).
Details & Care
This military-inspired jacket is cut from cotton twill that's been washed for a nice broken-in fade.
When you buy Treasure & Bond, Nordstrom will donate 2.5% of net sales to organizations that work to empower youth.
31"" length (size Medium)
Front zip closure with snap flap
Stand collar
Snap-tab cuffs
Front zip and flap pockets
Drawstring waist and hem
100% cotton
Machine wash, tumble dry
Imported
t.b.d.
Item #5893415
Free Shipping & Returns See more","This military-inspired jacket is cut from cotton twill that's been washed for a nice broken-in fade.",""
"https://shop.nordstrom.com/s/blanknyc-life-changer-moto-jacket/4600354?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/2e92875b-7375-4d7d-8f5d-a19d09925579.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","Life Changer Moto Jacket","BLANKNYC","https://shop.nordstrom.com/brands/blanknyc--8779?origin=productBrandLink","BLANKNYC Life Changer Moto Jacket, Main, color, BLACK
Size Info
True to size.
XS=00-0, S=2-4, M=6-8, L=10-12, XL=14.
Details & Care
Rugged zip details boost the edgy, moto-inspired vibe of this soft faux-leather jacket designed to add a dose of cool to any look.
22"" length (size Medium)
Asymmetrical front-zip closure
Notched collar
Long sleeves with zip cuffs
Front zip pockets
Lined
50% polyester, 50% polyurethane
Wipe clean
Imported
Savvy
Item #5347686
Free Shipping & Returns See more","Rugged zip details boost the edgy, moto-inspired vibe of this soft faux-leather jacket designed to add a dose of cool to any look.","https://n.nordstrommedia.com/id/sr3/a2e01a14-99f5-4d5a-b8a0-5a1d364efce1.jpeg?crop=fit&amp"
"https://shop.nordstrom.com/s/sam-edelman-puffer-coat/5551312?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/f8400662-0730-4ca2-99bc-5a7d27282675.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","Puffer Coat","SAM EDELMAN","https://shop.nordstrom.com/brands/sam-edelman--4215?origin=productBrandLink","SAM EDELMAN Puffer Coat, Main, color, TEAL
Size Info
True to size.
XS=0-2, S=4-6, M=8-10, L=12-14, XL=16-18 (14W), XXL=20-22 (16W).
Details & Care
A box-quilted puffer in a length that's just right for the weekday commute or the weekend sidelines is made extra cozy with a plush faux-fur lining.
34"" length
Front zip closure with snap storm placket
Ribbed storm cuffs
Front snap pockets
Water-resistant
Lined
100% polyester
Machine wash, line dry
Imported
Coats
Item #5876145_1
Free Shipping & Returns See more","A box-quilted puffer in a length that's just right for the weekday commute or the weekend sidelines is made extra cozy with a plush faux-fur lining.","https://n.nordstrommedia.com/id/sr3/d4748578-4e28-4961-a31d-114b68f2a333.jpeg?crop=fit&amp"
"https://shop.nordstrom.com/s/kut-from-the-kloth-helena-denim-jacket-regular-petite/3922204?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing%2FCoats%2C%20Jackets%20%26%20Blazers","https://n.nordstrommedia.com/id/sr3/94ef3dfa-f797-4525-bab1-e53879c3e3e2.jpeg?crop=pad&pad_color=FFF&format=jpeg&w=780&h=1196","'Helena' Denim Jacket","KUT FROM THE KLOTH","https://shop.nordstrom.com/brands/kut-from-the-kloth--5181?origin=productBrandLink","KUT FROM THE KLOTH 'Helena' Denim Jacket, Main, color, EMPATHETIC
Size Info
If between sizes, order one size up.
XXS=00, XS=0, S=2-4, M=6-8, L=10-12, XL=14-16, XXL=18.
True to size.
XSP=0, SP=2-4, MP=6-8, LP=10-12, XLP=14-16.
XXSP=00, XSP=0, SP=2-4, MP=6-8, LP=10-12, XLP=14-16.
Details & Care
An essential denim jacket is styled with iconic detailing, including chest flap pockets and shank-style buttons.
22"" regular length (size Medium); 20"" petite length (size Medium P).
Front button closure.
Button cuffs.
Back button tabs.
Dark dye may transfer to lighter materials.
98% cotton, 2% spandex.
Machine wash, dry flat.
By KUT from the Kloth; imported.
Point of View and Petite Focus.
Item #1019944
Helpful info:
See details and tips from a salesperson (video)
Petite sizes best fit women 5'4"" & under.
Free Shipping & Returns See more","An essential denim jacket is styled with iconic detailing, including chest flap pockets and shank-style buttons.","https://n.nordstrommedia.com/id/sr3/a2d30b0b-0f0f-4283-a7c5-2a58c98f3f55.jpeg?crop=fit&amp"
